rows,SSIM JPEG,L1 Autoencoder,L2 Autoencoder,SSIM Autoencoder
Img. 1,0.8988121151924133,0.8969748020172119,0.8738284111022949,0.9339038729667664
Img. 2,0.9507239460945129,0.8954492211341858,0.9092326164245605,0.9195148944854736
Img. 3,0.9346652030944824,0.9012086391448975,0.899690568447113,0.9069591164588928
Img. 4,0.9515221118927002,0.8636419177055359,0.8757465481758118,0.8955061435699463
Img. 5,0.9113042950630188,0.8698372840881348,0.8753535747528076,0.910017192363739
Img. 6,0.9563760161399841,0.8824646472930908,0.9053747653961182,0.9135119915008545
Img. 7,0.8927419185638428,0.8262296319007874,0.8112537860870361,0.8620252013206482
Img. 8,0.9189804196357727,0.878330409526825,0.878788411617279,0.9098455309867859
Img. 9,0.9103937149047852,0.7768893241882324,0.7823853492736816,0.8584229350090027
Img. 10,0.8060762286186218,0.7794642448425293,0.7816298007965088,0.8526766896247864
